Alg,Set_Num,Rep_num,Fitness,Seconds,tokeep,samples
mimic,0,430,71.0,0.0157984,0.1,30
mimic,0,440,71.0,0.0202322,0.1,30
mimic,0,450,71.0,0.0153103,0.1,30
mimic,0,460,71.0,0.0158702,0.1,30
mimic,0,470,71.0,0.0162411,0.1,30
mimic,0,480,71.0,0.0140654,0.1,30
mimic,0,490,73.0,0.0145986,0.1,30
mimic,0,500,73.0,0.0135479,0.1,30
mimic,0,510,73.0,0.0137314,0.1,30
mimic,0,520,73.0,0.0165227,0.1,30
mimic,0,530,73.0,0.0139922,0.1,30
mimic,0,540,73.0,0.0139708,0.1,30
mimic,0,550,74.0,0.0146214,0.1,30
mimic,0,560,74.0,0.0138566000001,0.1,30
mimic,0,570,74.0,0.0167104,0.1,30
mimic,0,580,74.0,0.0143691,0.1,30
mimic,0,590,74.0,0.013381,0.1,30
mimic,0,600,74.0,0.0160783,0.1,30
mimic,0,610,74.0,0.0139677,0.1,30
mimic,0,620,74.0,0.0135656,0.1,30
mimic,0,630,74.0,0.0153892,0.1,30
mimic,0,640,74.0,0.015043,0.1,30
mimic,0,650,74.0,0.0178066,0.1,30
mimic,0,660,74.0,0.0152218,0.1,30
mimic,0,670,74.0,0.0156778,0.1,30
mimic,0,680,74.0,0.0146227,0.1,30
mimic,0,690,74.0,0.015488,0.1,30
mimic,0,700,74.0,0.0131602,0.1,30
mimic,0,710,74.0,0.0148441,0.1,30
mimic,0,720,74.0,0.0136532,0.1,30
mimic,0,730,74.0,0.0150702,0.1,30
mimic,0,740,74.0,0.0143206,0.1,30
mimic,0,750,74.0,0.0146279,0.1,30
mimic,0,760,74.0,0.014582,0.1,30
mimic,0,770,74.0,0.0166525,0.1,30
mimic,0,780,74.0,0.0162227,0.1,30
mimic,0,790,74.0,0.0173067,0.1,30
mimic,0,800,74.0,0.0134455,0.1,30
mimic,0,810,74.0,0.0149414,0.1,30
mimic,0,820,74.0,0.0143308,0.1,30
mimic,0,830,74.0,0.0136772,0.1,30
mimic,0,840,74.0,0.0183152,0.1,30
mimic,0,850,74.0,0.020228,0.1,30
mimic,0,860,74.0,0.0151197,0.1,30
mimic,0,870,74.0,0.0150695,0.1,30
mimic,0,880,74.0,0.0151586,0.1,30
mimic,0,890,74.0,0.0138272,0.1,30
mimic,0,900,74.0,0.0135138,0.1,30
mimic,0,910,74.0,0.0143541,0.1,30
mimic,0,920,74.0,0.0138745,0.1,30
mimic,0,930,74.0,0.0144042,0.1,30
mimic,0,940,74.0,0.0152696,0.1,30
mimic,0,950,74.0,0.0136996,0.1,30
mimic,0,960,74.0,0.0152077,0.1,30
mimic,0,970,74.0,0.0157393,0.1,30
mimic,0,980,74.0,0.0158475,0.1,30
