Alg,Set_Num,Rep_num,Fitness,Seconds,Func_Evals,na
rhc,0,2820,66.0,2.34e-05,3113,0
rhc,0,2830,66.0,2.33e-05,3124,0
rhc,0,2840,66.0,2.25e-05,3135,0
rhc,0,2850,66.0,2.37e-05,3146,0
rhc,0,2860,66.0,2.28e-05,3157,0
rhc,0,2870,66.0,2.78e-05,3168,0
rhc,0,2880,66.0,2.43e-05,3179,0
rhc,0,2890,66.0,2.25e-05,3190,0
rhc,0,2900,66.0,1.74e-05,3201,0
rhc,0,2910,66.0,2.19e-05,3212,0
rhc,0,2920,66.0,1.87e-05,3223,0
rhc,0,2930,66.0,2.2e-05,3234,0
rhc,0,2940,66.0,2.13e-05,3245,0
rhc,0,2950,66.0,2.21e-05,3256,0
rhc,0,2960,66.0,4.12e-05,3267,0
rhc,0,2970,66.0,2.32e-05,3278,0
rhc,0,2980,66.0,2.42e-05,3289,0
rhc,0,2990,66.0,2.66e-05,3300,0
rhc,0,3000,66.0,2.08e-05,3311,0
rhc,0,3010,66.0,2.12e-05,3322,0
rhc,0,3020,66.0,2.21e-05,3333,0
rhc,0,3030,66.0,2.21e-05,3344,0
rhc,0,3040,66.0,1.62e-05,3355,0
rhc,0,3050,66.0,2.12e-05,3366,0
rhc,0,3060,66.0,2.07e-05,3377,0
rhc,0,3070,66.0,5.47e-05,3388,0
rhc,0,3080,66.0,2.28e-05,3399,0
rhc,0,3090,66.0,2.28e-05,3410,0
rhc,0,3100,66.0,2.85e-05,3421,0
rhc,0,3110,66.0,2.33e-05,3432,0
rhc,0,3120,66.0,2.3e-05,3443,0
rhc,0,3130,66.0,1.61e-05,3454,0
rhc,0,3140,66.0,2.22e-05,3465,0
rhc,0,3150,66.0,2.09e-05,3476,0
rhc,0,3160,66.0,3.14e-05,3487,0
rhc,0,3170,66.0,2.3e-05,3498,0
rhc,0,3180,66.0,2.34e-05,3509,0
rhc,0,3190,66.0,2.69e-05,3520,0
rhc,0,3200,66.0,2.16e-05,3531,0
rhc,0,3210,66.0,3.16e-05,3542,0
rhc,0,3220,66.0,2.17e-05,3553,0
rhc,0,3230,66.0,1.75e-05,3564,0
rhc,0,3240,66.0,2.25e-05,3575,0
rhc,0,3250,66.0,1.69e-05,3586,0
rhc,0,3260,66.0,2.23e-05,3597,0
rhc,0,3270,66.0,3.23e-05,3608,0
rhc,0,3280,66.0,3.63e-05,3619,0
rhc,0,3290,66.0,2.24e-05,3630,0
rhc,0,3300,66.0,3.55e-05,3641,0
rhc,0,3310,66.0,2.52e-05,3652,0
rhc,0,3320,66.0,2.02e-05,3663,0
rhc,0,3330,66.0,2.34e-05,3674,0
rhc,0,3340,66.0,1.68e-05,3685,0
rhc,0,3350,66.0,0.0268498,3696,0
rhc,0,3360,66.0,1.82e-05,3707,0
rhc,0,3370,66.0,1.14e-05,3718,0
rhc,0,3380,66.0,1.02e-05,3729,0
rhc,0,3390,66.0,1.07e-05,3740,0
rhc,0,3400,66.0,1.01e-05,3751,0
rhc,0,3410,66.0,9.8e-06,3762,0
rhc,0,3420,66.0,1.01e-05,3773,0
rhc,0,3430,66.0,1.02e-05,3784,0
rhc,0,3440,66.0,9.5e-06,3795,0
rhc,0,3450,66.0,9.6e-06,3806,0
rhc,0,3460,66.0,1.12e-05,3817,0
rhc,0,3470,66.0,1.02e-05,3828,0
rhc,0,3480,66.0,1.02e-05,3839,0
rhc,0,3490,66.0,1.05e-05,3850,0
rhc,1,0,36.0,1.97e-05,3862,0
rhc,1,10,38.0,1.02e-05,3873,0
rhc,1,20,42.0,1.08e-05,3884,0
rhc,1,30,42.0,9.6e-06,3895,0
rhc,1,40,48.0,1.02e-05,3906,0
rhc,1,50,50.0,9.6e-06,3917,0
rhc,1,60,51.0,1.33e-05,3928,0
rhc,1,70,53.0,9.90000000001e-06,3939,0
rhc,1,80,53.0,9.90000000001e-06,3950,0
rhc,1,90,53.0,9.90000000001e-06,3961,0
rhc,1,100,53.0,1.02e-05,3972,0
rhc,1,110,53.0,9.8e-06,3983,0
rhc,1,120,55.0,1e-05,3994,0
rhc,1,130,57.0,1.03e-05,4005,0
rhc,1,140,57.0,1.02e-05,4016,0
rhc,1,150,57.0,1e-05,4027,0
rhc,1,160,57.0,1.51e-05,4038,0
rhc,1,170,57.0,1.06e-05,4049,0
rhc,1,180,57.0,9.6e-06,4060,0
rhc,1,190,57.0,1.04e-05,4071,0
rhc,1,200,57.0,1.84e-05,4082,0
rhc,1,210,57.0,2.17e-05,4093,0
rhc,1,220,59.0,1.01e-05,4104,0
rhc,1,230,59.0,3.51e-05,4115,0
rhc,1,240,59.0,1.04e-05,4126,0
rhc,1,250,59.0,9.6e-06,4137,0
rhc,1,260,59.0,9.90000000001e-06,4148,0
rhc,1,270,61.0,1.01e-05,4159,0
rhc,1,280,61.0,9.7e-06,4170,0
rhc,1,290,61.0,9.6e-06,4181,0
rhc,1,300,61.0,1.02e-05,4192,0
rhc,1,310,61.0,9.6e-06,4203,0
rhc,1,320,63.0,9.7e-06,4214,0
rhc,1,330,65.0,3.74e-05,4225,0
rhc,1,340,65.0,1.03e-05,4236,0
rhc,1,350,65.0,1.06e-05,4247,0
rhc,1,360,65.0,1.01e-05,4258,0
rhc,1,370,65.0,9.79999999998e-06,4269,0
rhc,1,380,65.0,9.50000000002e-06,4280,0
rhc,1,390,65.0,9.5e-06,4291,0
rhc,1,400,65.0,1.08e-05,4302,0
rhc,1,410,65.0,9.39999999999e-06,4313,0
rhc,1,420,65.0,9.6e-06,4324,0
rhc,1,430,65.0,1.47e-05,4335,0
rhc,1,440,65.0,1.03e-05,4346,0
rhc,1,450,65.0,9.40000000002e-06,4357,0
rhc,1,460,65.0,1.08e-05,4368,0
rhc,1,470,65.0,9.90000000001e-06,4379,0
rhc,1,480,65.0,9.7e-06,4390,0
rhc,1,490,65.0,1.16e-05,4401,0
rhc,1,500,65.0,1.58e-05,4412,0
rhc,1,510,65.0,1.06e-05,4423,0
rhc,1,520,65.0,9.90000000001e-06,4434,0
rhc,1,530,65.0,9.5e-06,4445,0
rhc,1,540,65.0,9.8e-06,4456,0
rhc,1,550,65.0,1.01e-05,4467,0
rhc,1,560,65.0,9.90000000001e-06,4478,0
rhc,1,570,65.0,9.7e-06,4489,0
rhc,1,580,65.0,1.54e-05,4500,0
rhc,1,590,65.0,9.90000000001e-06,4511,0
rhc,1,600,65.0,9.40000000002e-06,4522,0
rhc,1,610,65.0,9.89999999998e-06,4533,0
rhc,1,620,65.0,9.89999999998e-06,4544,0
rhc,1,630,65.0,1.09e-05,4555,0
rhc,1,640,65.0,1.07e-05,4566,0
rhc,1,650,65.0,9.5e-06,4577,0
rhc,1,660,65.0,1.01e-05,4588,0
rhc,1,670,65.0,1.38e-05,4599,0
rhc,1,680,65.0,1.03e-05,4610,0
rhc,1,690,65.0,1.5e-05,4621,0
rhc,1,700,65.0,1.57e-05,4632,0
rhc,1,710,65.0,1.2e-05,4643,0
rhc,1,720,65.0,1.12e-05,4654,0
rhc,1,730,65.0,1.04e-05,4665,0
rhc,1,740,65.0,1.04e-05,4676,0
rhc,1,750,65.0,1.07e-05,4687,0
rhc,1,760,65.0,1.03e-05,4698,0
rhc,1,770,65.0,1.01e-05,4709,0
rhc,1,780,65.0,9.6e-06,4720,0
rhc,1,790,65.0,1.07e-05,4731,0
rhc,1,800,65.0,9.8e-06,4742,0
rhc,1,810,65.0,1.07e-05,4753,0
rhc,1,820,65.0,9.7e-06,4764,0
rhc,1,830,65.0,9.39999999999e-06,4775,0
rhc,1,840,65.0,9.99999999998e-06,4786,0
rhc,1,850,65.0,9.6e-06,4797,0
rhc,1,860,65.0,9.6e-06,4808,0
rhc,1,870,65.0,1.31e-05,4819,0
rhc,1,880,65.0,1.05e-05,4830,0
rhc,1,890,65.0,9.29999999999e-06,4841,0
rhc,1,900,65.0,9.6e-06,4852,0
rhc,1,910,65.0,9.6e-06,4863,0
rhc,1,920,65.0,9.39999999999e-06,4874,0
rhc,1,930,65.0,1.02e-05,4885,0
rhc,1,940,65.0,1.08e-05,4896,0
rhc,1,950,65.0,9.20000000001e-06,4907,0
rhc,1,960,65.0,2.3e-05,4918,0
rhc,1,970,65.0,1.96e-05,4929,0
rhc,1,980,65.0,5.3e-05,4940,0
rhc,1,990,65.0,1.03e-05,4951,0
rhc,1,1000,65.0,9.7e-06,4962,0
rhc,1,1010,65.0,1.06e-05,4973,0
