Alg,Set_Num,Rep_num,Fitness,Seconds,Func_Evals,tokeep,samples
mimic,0,720,74.0,0.01597692,24132,0.1,30
mimic,0,730,74.0,0.014135897,24463,0.1,30
mimic,0,740,74.0,0.014382523,24794,0.1,30
mimic,0,750,74.0,0.014587955,25125,0.1,30
mimic,0,760,74.0,0.014305312,25456,0.1,30
mimic,0,770,74.0,0.014731199,25787,0.1,30
mimic,0,780,74.0,0.013993914,26118,0.1,30
mimic,0,790,74.0,0.014278481,26449,0.1,30
mimic,0,800,74.0,0.014817,26780,0.1,30
mimic,0,810,74.0,0.013976596,27111,0.1,30
mimic,0,820,74.0,0.014222138,27442,0.1,30
mimic,0,830,74.0,0.013824824,27773,0.1,30
mimic,0,840,74.0,0.014064777,28104,0.1,30
mimic,0,850,74.0,0.014125715,28435,0.1,30
mimic,0,860,74.0,0.014000652,28766,0.1,30
mimic,0,870,74.0,0.014486113,29097,0.1,30
mimic,0,880,74.0,0.013897713,29428,0.1,30
mimic,0,890,74.0,0.014042961,29759,0.1,30
mimic,0,900,74.0,0.020148091,30090,0.1,30
mimic,0,910,72.0,0.015039508,30421,0.1,30
mimic,0,920,72.0,0.014416645,30752,0.1,30
mimic,0,930,74.0,0.01356722,31083,0.1,30
mimic,0,940,72.0,0.014608421,31414,0.1,30
mimic,0,950,72.0,0.015351923,31745,0.1,30
mimic,0,960,72.0,0.014789809,32076,0.1,30
mimic,0,970,72.0,0.014504488,32407,0.1,30
mimic,0,980,72.0,0.013870361,32738,0.1,30
mimic,0,990,72.0,0.016098387,33069,0.1,30
mimic,0,1000,72.0,0.014282295,33400,0.1,30
mimic,0,1010,72.0,0.014971416,33731,0.1,30
mimic,0,1020,72.0,0.014493782,34062,0.1,30
mimic,0,1030,72.0,0.014266746,34393,0.1,30
mimic,0,1040,72.0,0.014447312,34724,0.1,30
mimic,0,1050,72.0,0.014355359,35055,0.1,30
mimic,0,1060,72.0,0.014663308,35386,0.1,30
mimic,0,1070,72.0,0.014710489,35717,0.1,30
mimic,0,1080,72.0,0.014042097,36048,0.1,30
mimic,0,1090,72.0,0.014489106,36379,0.1,30
mimic,0,1100,72.0,0.014912103,36710,0.1,30
mimic,0,1110,74.0,0.014682337,37041,0.1,30
mimic,0,1120,74.0,0.014409346,37372,0.1,30
mimic,0,1130,74.0,0.01418933,37703,0.1,30
mimic,0,1140,74.0,0.014260477,38034,0.1,30
mimic,0,1150,74.0,0.014524952,38365,0.1,30
mimic,0,1160,74.0,0.01396788,38696,0.1,30
mimic,0,1170,74.0,0.014152706,39027,0.1,30
mimic,0,1180,74.0,0.014082917,39358,0.1,30
mimic,0,1190,74.0,0.014476179,39689,0.1,30
mimic,0,1200,74.0,0.014200142,40020,0.1,30
mimic,0,1210,74.0,0.014083095,40351,0.1,30
mimic,0,1220,74.0,0.014414474,40682,0.1,30
mimic,0,1230,74.0,0.014021144,41013,0.1,30
mimic,0,1240,75.0,0.014291067,41344,0.1,30
mimic,0,1250,74.0,0.014100817,41675,0.1,30
mimic,0,1260,75.0,0.01416832,42006,0.1,30
mimic,0,1270,75.0,0.014416413,42337,0.1,30
mimic,0,1280,75.0,0.014291428,42668,0.1,30
mimic,0,1290,75.0,0.01447993,42999,0.1,30
mimic,0,1300,75.0,0.014110934,43330,0.1,30
mimic,0,1310,75.0,0.013927477,43661,0.1,30
mimic,0,1320,75.0,0.01423071,43992,0.1,30
mimic,0,1330,75.0,0.014712331,44323,0.1,30
mimic,0,1340,75.0,0.014760121,44654,0.1,30
mimic,0,1350,75.0,0.01497568,44985,0.1,30
mimic,0,1360,75.0,0.01414272,45316,0.1,30
mimic,0,1370,75.0,0.014521548,45647,0.1,30
mimic,0,1380,75.0,0.014473808,45978,0.1,30
mimic,0,1390,75.0,0.015270128,46309,0.1,30
mimic,0,1400,75.0,0.015292368,46640,0.1,30
